#     1_Threshold      2_Threshold         3_True_P         4_True_N        5_False_P        6_False_N      7_Precision         8_Recall       9_Accuracy      10_Fall_Out   11_Sensitivity     12_F_Measure 
# ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  
             0.00             0.30              487              370              134                9         0.784219         0.981855         0.857000         0.265873         0.981855         0.871979
             0.00             0.31              487              374              130                9         0.789303         0.981855         0.861000         0.257937         0.981855         0.875112
             0.00             0.32              487              381              123                9         0.798361         0.981855         0.868000         0.244048         0.981855         0.880651
             0.00             0.33              487              392              112                9         0.813022         0.981855         0.879000         0.222222         0.981855         0.889498
             0.00             0.34              487              397              107                9         0.819865         0.981855         0.884000         0.212302         0.981855         0.893578
             0.00             0.35              487              403              101                9         0.828231         0.981855         0.890000         0.200397         0.981855         0.898524
             0.00             0.36              487              406               98                9         0.832479         0.981855         0.893000         0.194444         0.981855         0.901018
             0.00             0.37              487              410               94                9         0.838210         0.981855         0.897000         0.186508         0.981855         0.904364
             0.00             0.38              487              416               88                9         0.846957         0.981855         0.903000         0.174603         0.981855         0.909430
             0.00             0.39              487              424               80                9         0.858907         0.981855         0.911000         0.158730         0.981855         0.916275
             0.00             0.40              487              430               74                9         0.868093         0.981855         0.917000         0.146825         0.981855         0.921476
             0.00             0.41              487              436               68                9         0.877477         0.981855         0.923000         0.134921         0.981855         0.926736
             0.00             0.42              487              440               64                9         0.883848         0.981855         0.927000         0.126984         0.981855         0.930277
             0.00             0.43              487              443               61                9         0.888686         0.981855         0.930000         0.121032         0.981855         0.932950
             0.00             0.44              487              443               61                9         0.888686         0.981855         0.930000         0.121032         0.981855         0.932950
             0.00             0.45              487              448               56                9         0.896869         0.981855         0.935000         0.111111         0.981855         0.937440
             0.00             0.46              487              451               53                9         0.901852         0.981855         0.938000         0.105159         0.981855         0.940154
             0.00             0.47              487              457               47                9         0.911985         0.981855         0.944000         0.093254         0.981855         0.945631
             0.00             0.48              486              459               45               10         0.915254         0.979839         0.945000         0.089286         0.979839         0.946446
             0.00             0.49              485              462               42               11         0.920304         0.977823         0.947000         0.083333         0.977823         0.948192
             0.00             0.50              484              466               38               12         0.927203         0.975806         0.950000         0.075397         0.975806         0.950884
             0.00             0.51              483              467               37               13         0.928846         0.973790         0.950000         0.073413         0.973790         0.950787
             0.00             0.52              482              469               35               14         0.932302         0.971774         0.951000         0.069444         0.971774         0.951629
             0.00             0.53              482              472               32               14         0.937743         0.971774         0.954000         0.063492         0.971774         0.954455
             0.00             0.54              479              475               29               17         0.942913         0.965726         0.954000         0.057540         0.965726         0.954183
             0.00             0.55              479              478               26               17         0.948515         0.965726         0.957000         0.051587         0.965726         0.957043
             0.00             0.56              474              480               24               22         0.951807         0.955645         0.954000         0.047619         0.955645         0.953722
             0.00             0.57              471              481               23               25         0.953441         0.949597         0.952000         0.045635         0.949597         0.951515
             0.00             0.58              470              483               21               26         0.957230         0.947581         0.953000         0.041667         0.947581         0.952381
             0.00             0.59              470              485               19               26         0.961145         0.947581         0.955000         0.037698         0.947581         0.954315
             0.00             0.60              467              486               18               29         0.962887         0.941532         0.953000         0.035714         0.941532         0.952090
             0.00             0.61              463              490               14               33         0.970650         0.933468         0.953000         0.027778         0.933468         0.951696
             0.00             0.62              462              493               11               34         0.976744         0.931452         0.955000         0.021825         0.931452         0.953560
             0.00             0.63              460              493               11               36         0.976645         0.927419         0.953000         0.021825         0.927419         0.951396
             0.00             0.64              459              494               10               37         0.978678         0.925403         0.953000         0.019841         0.925403         0.951295
             0.00             0.65              456              498                6               40         0.987013         0.919355         0.954000         0.011905         0.919355         0.951983
             0.00             0.66              452              498                6               44         0.986900         0.911290         0.950000         0.011905         0.911290         0.947589
             0.00             0.67              446              498                6               50         0.986726         0.899194         0.944000         0.011905         0.899194         0.940928
             0.00             0.68              443              498                6               53         0.986637         0.893145         0.941000         0.011905         0.893145         0.937566
             0.00             0.69              441              499                5               55         0.988789         0.889113         0.940000         0.009921         0.889113         0.936306
             0.00             0.70              439              500                4               57         0.990971         0.885081         0.939000         0.007937         0.885081         0.935037
             0.00             0.71              438              500                4               58         0.990950         0.883065         0.938000         0.007937         0.883065         0.933902
             0.00             0.72              434              500                4               62         0.990868         0.875000         0.934000         0.007937         0.875000         0.929336
             0.00             0.73              428              501                3               68         0.993039         0.862903         0.929000         0.005952         0.862903         0.923409
             0.00             0.74              428              502                2               68         0.995349         0.862903         0.930000         0.003968         0.862903         0.924406
             0.00             0.75              421              503                1               75         0.997630         0.848790         0.924000         0.001984         0.848790         0.917211
             0.00             0.76              419              503                1               77         0.997619         0.844758         0.922000         0.001984         0.844758         0.914847
             0.00             0.77              410              503                1               86         0.997567         0.826613         0.913000         0.001984         0.826613         0.904079
             0.00             0.78              402              503                1               94         0.997519         0.810484         0.905000         0.001984         0.810484         0.894327
             0.00             0.79              390              503                1              106         0.997442         0.786290         0.893000         0.001984         0.786290         0.879369
             0.00             0.80              382              504                0              114         1.000000         0.770161         0.886000         0.000000         0.770161         0.870159
             0.00             0.81              378              504                0              118         1.000000         0.762097         0.882000         0.000000         0.762097         0.864989
             0.00             0.82              374              504                0              122         1.000000         0.754032         0.878000         0.000000         0.754032         0.859770
             0.00             0.83              363              504                0              133         1.000000         0.731855         0.867000         0.000000         0.731855         0.845169
             0.00             0.84              357              504                0              139         1.000000         0.719758         0.861000         0.000000         0.719758         0.837046
             0.00             0.85              350              504                0              146         1.000000         0.705645         0.854000         0.000000         0.705645         0.827423
             0.00             0.86              339              504                0              157         1.000000         0.683468         0.843000         0.000000         0.683468         0.811976
             0.00             0.87              321              504                0              175         1.000000         0.647177         0.825000         0.000000         0.647177         0.785802
             0.00             0.88              315              504                0              181         1.000000         0.635081         0.819000         0.000000         0.635081         0.776819
             0.00             0.89              304              504                0              192         1.000000         0.612903         0.808000         0.000000         0.612903         0.760000
             0.00             0.90              288              504                0              208         1.000000         0.580645         0.792000         0.000000         0.580645         0.734694
             0.00             0.91              273              504                0              223         1.000000         0.550403         0.777000         0.000000         0.550403         0.710013
             0.00             0.92              263              504                0              233         1.000000         0.530242         0.767000         0.000000         0.530242         0.693017
             0.00             0.93              244              504                0              252         1.000000         0.491935         0.748000         0.000000         0.491935         0.659459
             0.00             0.94              238              504                0              258         1.000000         0.479839         0.742000         0.000000         0.479839         0.648501
             0.00             0.95              230              504                0              266         1.000000         0.463710         0.734000         0.000000         0.463710         0.633609
             0.00             0.96              216              504                0              280         1.000000         0.435484         0.720000         0.000000         0.435484         0.606742
             0.00             0.97              198              504                0              298         1.000000         0.399194         0.702000         0.000000         0.399194         0.570605
             0.00             0.98              180              504                0              316         1.000000         0.362903         0.684000         0.000000         0.362903         0.532544
             0.00             0.99              143              504                0              353         1.000000         0.288306         0.647000         0.000000         0.288306         0.447574
             0.01             0.00              496                0              504                0         0.496000         1.000000         0.496000         1.000000         1.000000         0.663102
             0.01             0.01              487                0              504                9         0.491423         0.981855         0.487000         1.000000         0.981855         0.655010
             0.01             0.02              487                2              502                9         0.492417         0.981855         0.489000         0.996032         0.981855         0.655892
             0.01             0.03              487               10              494                9         0.496432         0.981855         0.497000         0.980159         0.981855         0.659445
             0.01             0.04              487               28              476                9         0.505711         0.981855         0.515000         0.944444         0.981855         0.667581
             0.01             0.05              487               54              450                9         0.519744         0.981855         0.541000         0.892857         0.981855         0.679693
             0.01             0.06              487               83              421                9         0.536344         0.981855         0.570000         0.835317         0.981855         0.693732
             0.01             0.07              487              112              392                9         0.554039         0.981855         0.599000         0.777778         0.981855         0.708364
             0.01             0.08              487              135              369                9         0.568925         0.981855         0.622000         0.732143         0.981855         0.720414
             0.01             0.09              487              146              358                9         0.576331         0.981855         0.633000         0.710317         0.981855         0.726324
             0.01             0.10              487              158              346                9         0.584634         0.981855         0.645000         0.686508         0.981855         0.732882
             0.01             0.11              487              170              334                9         0.593179         0.981855         0.657000         0.662698         0.981855         0.739560
             0.01             0.12              487              188              316                9         0.606476         0.981855         0.675000         0.626984         0.981855         0.749808
             0.01             0.13              487              200              304                9         0.615676         0.981855         0.687000         0.603175         0.981855         0.756799
             0.01             0.14              487              220              284                9         0.631647         0.981855         0.707000         0.563492         0.981855         0.768745
             0.01             0.15              487              230              274                9         0.639947         0.981855         0.717000         0.543651         0.981855         0.774861
             0.01             0.16              487              238              266                9         0.646746         0.981855         0.725000         0.527778         0.981855         0.779824
             0.01             0.17              487              253              251                9         0.659892         0.981855         0.740000         0.498016         0.981855         0.789303
             0.01             0.18              487              264              240                9         0.669876         0.981855         0.751000         0.476190         0.981855         0.796402
             0.01             0.19              487              270              234                9         0.675451         0.981855         0.757000         0.464286         0.981855         0.800329
             0.01             0.20              487              278              226                9         0.683029         0.981855         0.765000         0.448413         0.981855         0.805624
             0.01             0.21              487              288              216                9         0.692745         0.981855         0.775000         0.428571         0.981855         0.812344
             0.01             0.22              487              296              208                9         0.700719         0.981855         0.783000         0.412698         0.981855         0.817800
             0.01             0.23              487              307              197                9         0.711988         0.981855         0.794000         0.390873         0.981855         0.825424
             0.01             0.24              487              313              191                9         0.718289         0.981855         0.800000         0.378968         0.981855         0.829642
             0.01             0.25              487              316              188                9         0.721481         0.981855         0.803000         0.373016         0.981855         0.831768
             0.01             0.26              487              323              181                9         0.729042         0.981855         0.810000         0.359127         0.981855         0.836770
             0.01             0.27              487              331              173                9         0.737879         0.981855         0.818000         0.343254         0.981855         0.842561
             0.01             0.28              487              339              165                9         0.746933         0.981855         0.826000         0.327381         0.981855         0.848432
             0.01             0.29              487              343              161                9         0.751543         0.981855         0.830000         0.319444         0.981855         0.851399
             0.01             0.30              487              349              155                9         0.758567         0.981855         0.836000         0.307540         0.981855         0.855888
             0.01             0.31              487              357              147                9         0.768139         0.981855         0.844000         0.291667         0.981855         0.861947
             0.01             0.32              487              366              138                9         0.779200         0.981855         0.853000         0.273810         0.981855         0.868867
             0.01             0.33              487              371              133                9         0.785484         0.981855         0.858000         0.263889         0.981855         0.872760
             0.01             0.34              487              376              128                9         0.791870         0.981855         0.863000         0.253968         0.981855         0.876688
